run_id,benchmark,replicate,seed,best,len_final,cpu_s
183aa5ab-3938-4dc1-814d-079fa0731f8b,Sphere,0,280815310,0.009925,32,5.5419
fb2e56b7-5091-4c53-84ae-12ce029c8401,Sphere,1,2033397322,0.020945,32,5.0028
5519a401-8366-4feb-a7ed-ee304b8e4993,Sphere,2,1465354696,0.018347,32,5.1614
975922b9-8c45-4019-a30a-cb6882f68278,Sphere,3,1409249171,0.002672,32,4.5512
cf7154dc-cad0-453c-b09f-af2ca75adc4b,Sphere,4,229438119,0.003105,32,4.5969
215bba4f-2094-4389-94ed-3445b3f1fb6f,Sphere,5,542412618,0.007737,32,5.0195
31d906c4-2bbe-45b7-9898-ddb156b61c8e,Sphere,6,501473017,0.017246,32,4.7466
b51fe3e7-e5a6-4712-89d0-7a0e7c509510,Sphere,7,656684947,0.002314,32,5.085
904205cb-05dc-40f6-982c-d839b215e92d,Sphere,8,636162247,0.021197,32,4.6436
e593c6e7-374c-4de5-8318-a0166bd834fd,Sphere,9,1866272497,0.013793,32,4.987
4be433b3-374e-4742-b3ac-8735e241edf7,Sphere,10,384508654,0.008665,32,4.8355
64d671a9-e78c-44f9-a4cb-c3ed15dbf1b3,Sphere,11,442577600,0.011646,32,5.1567
9c171afa-e329-4b8b-8f53-f6383ef8c779,Sphere,12,939119771,0.02497,32,5.7801
a1eb1edd-b1c9-47b3-8bc8-a3c9f113b795,Sphere,13,1323491491,0.009068,32,4.3052
78cad621-87af-4858-a770-987604a54b14,Sphere,14,2043639035,0.00723,32,4.9099
ae8f37d5-596f-4ca2-aac2-9a4da76ffa39,Sphere,15,1237527270,0.014605,32,5.3319
00c47e79-a5db-48ef-bbef-7e0cef303c93,Sphere,16,1700589223,0.005029,32,5.0206
7b084fe2-5b23-4647-8097-88b4a7625239,Sphere,17,1838046695,0.068728,32,5.345
af03219f-34ab-46e0-a8bc-9a4150f782a0,Sphere,18,1525407200,0.015884,32,4.6449
2ea4ddbc-869e-4d83-a63c-328e2d438106,Sphere,19,2011077536,0.013662,32,4.8977
b81116c9-2f03-4361-bc45-7b84e8bf4be0,Sphere,20,624201109,0.007464,32,5.1445
bd40798b-05b3-4117-9035-62eaa24916ca,Sphere,21,468614751,0.075546,32,4.3437
621e3368-4d00-4a15-9b28-d908ee5969c1,Sphere,22,1645606296,0.017353,32,4.8654
cc491c26-0f7c-41f3-afd8-75abba7c62cd,Sphere,23,1998573724,0.002835,32,4.4109
e522eb3a-ab1f-4921-8e82-0389da015260,Sphere,24,482781604,0.082786,32,5.5298
64cbbddb-6221-497c-861d-db3d395e1d27,Sphere,25,495060659,0.002199,32,4.8613
ab6ed879-85ed-4220-a0dd-a555bd8a6da6,Sphere,26,716634464,0.020417,32,5.291
4fb1b570-7c3c-47da-83fd-f7edb53d30f2,Sphere,27,390478259,0.004799,32,5.2126
be9684f8-47b1-4fa2-80fe-1ff24abe6d72,Sphere,28,1893873053,0.003494,32,4.3878
2634db18-4643-4173-9847-99d0fcb09de6,Sphere,29,1273743603,0.011602,32,5.5523
9cf6f1a5-390d-44c2-a855-184eb980181f,Rastrigin,0,1150604992,32.026881,32,12.1515
a2418fd9-45fb-40da-98a6-f980b41beb5f,Rastrigin,1,29517701,19.767637,31,8.5615
4f94ad04-b46c-467b-8131-00d9f938f324,Rastrigin,2,1266782188,19.974552,31,10.7135
7378a09f-a075-42e4-8492-b89940d94dd9,Rastrigin,3,168285897,33.338735,32,11.8895
6b8c2883-3668-4250-9c4b-34be5cc1dace,Rastrigin,4,633716710,16.614461,31,9.5461
3d73e553-6d4e-45db-8571-e910e2eba1cd,Rastrigin,5,272651679,13.486906,31,9.1442
6a839164-bec9-446a-b0cd-4f0fa2539225,Rastrigin,6,1586007510,28.974938,32,10.36
44fd3f2b-cb73-4808-95bd-8b8d4d51d66b,Rastrigin,7,1616364022,23.661719,31,9.9289
8e00e95e-2967-4e62-bb3e-90b6df8c1451,Rastrigin,8,302018187,27.365181,31,9.9856
983066bf-d485-4378-abb7-2799d3cb7588,Rastrigin,9,13558285,31.654442,32,9.9035
35f35097-f2b5-4766-9dd9-28aecd0a02ea,Rastrigin,10,1449820870,14.905697,31,9.6616
2e8343f5-51a9-4a2a-8a54-9f3a15cf0b76,Rastrigin,11,1693056355,20.783697,32,8.7837
dbab389b-be8c-4952-b37a-235d7e45eaa0,Rastrigin,12,1518451619,16.983664,32,9.6165
98581bf3-bdd7-41c6-bf97-030e277f2e3c,Rastrigin,13,1038584559,27.016176,32,10.1829
60404daf-bac2-499b-9a08-5a5342f9b38a,Rastrigin,14,1537080998,19.232221,31,9.1093
b83dc7da-8127-47b1-9de7-e612415ee75e,Rastrigin,15,1935650627,13.406593,31,8.9595
28afd0a3-d101-47f7-a52b-f36371e37547,Rastrigin,16,1588711647,19.507174,32,10.6162
5d1ea9f3-e470-417d-a8c6-04ec18a40a4d,Rastrigin,17,223145890,29.936128,29,10.6436
732d2220-b27d-4b3b-80a8-17400a98d5db,Rastrigin,18,67920175,18.951108,32,8.6965
4edcd84a-b5ce-45a6-95ff-32c2b450f4c9,Rastrigin,19,1684047079,13.495131,30,8.6787
b067b6b3-cd1a-417d-82b9-bae5a47e7850,Rastrigin,20,382033563,21.950923,29,10.0536
0d56e003-9484-4c85-8080-fe4e1405da43,Rastrigin,21,1226762026,24.706021,31,11.2746
f3127532-c329-493c-8275-d3e1ea3cedf4,Rastrigin,22,1596747142,21.085477,32,8.9151
283576a9-c466-449e-b21a-fd3ebd7ff817,Rastrigin,23,1711401470,27.280586,32,13.5611
dcd06fb2-ea8d-41e1-9a7d-3149588ccd09,Rastrigin,24,1101282186,19.517943,31,11.3516
ef56a2dd-cbc3-4be6-8060-15548e4a022e,Rastrigin,25,1431573467,17.320456,32,10.6691
01459937-10d1-4904-8203-e92302a98c20,Rastrigin,26,1927354790,19.04414,30,10.6224
36dd54b1-08a1-40c8-a4e9-834c80e73368,Rastrigin,27,1644894511,18.705557,32,10.5311
a6d54c27-f1e6-4896-b10c-89913e83b00a,Rastrigin,28,1646658584,31.01828,31,11.7904
1689ad4a-3df8-4fec-9fc5-6339b2d7eeaf,Rastrigin,29,999570943,41.595987,31,12.5152
52282896-741f-43b5-88c7-8671f198b20b,Griewank,0,121506836,0.007209,32,19.9023
a5ad3024-3403-4b98-adae-21c28cdc0c48,Griewank,1,579294173,0.000184,32,19.5096
1bf952a8-1c95-4d62-9644-86a85e24088c,Griewank,2,1877440719,2.6e-05,32,18.9103
e8f2a8a6-720c-446f-8f28-a8dd26856707,Griewank,3,1082324379,0.000406,32,21.2187
c7f43a48-cb1c-49cb-9b95-37bd6aa9f223,Griewank,4,2056495131,0.000694,32,20.1564
c4728c3e-ef23-47aa-bba9-8fa9ca20c22d,Griewank,5,532391987,0.003036,32,21.8411
a01ea528-23aa-4680-9e33-84b3dff9b4a8,Griewank,6,376576959,0.00082,32,21.4836
1c511309-6e03-4ad4-9b95-f6694c0c4234,Griewank,7,160714911,0.000357,32,19.9808
bb09ab39-ce0d-4b4c-a44b-5751f2d09376,Griewank,8,1965645540,9.7e-05,32,21.4302
ad761769-fe6f-4429-b206-8a4377fd57d2,Griewank,9,1431109083,0.000815,32,21.6579
ab797d28-fbd3-4abe-a87c-59a6b0f15b0f,Griewank,10,126396459,0.016007,32,21.998
537c1a11-53b2-4fb8-aa16-774f510115eb,Griewank,11,1997888385,0.000164,32,20.5985
050c99bc-7ccc-47b9-99bf-b72ed5ad1076,Griewank,12,1303211692,0.005071,32,25.9995
24a8df93-1fa8-4585-9ed4-85d1061494ce,Griewank,13,579049256,0.001339,32,23.9865
e8f09038-8609-4d59-be1c-59df1d51d0f0,Griewank,14,1476600744,9.3e-05,32,21.745
8058c556-7f5b-463a-b886-653169fad077,Griewank,15,85116846,0.00069,32,22.3762
7b8700f5-4d14-4e12-8c82-5a83c9507849,Griewank,16,2123253938,0.000314,32,22.298
726b829c-9bec-4708-b829-32c1e773f462,Griewank,17,883434445,0.006435,32,23.3566
c330ad38-c7ff-4bc7-a988-d0bde973d06f,Griewank,18,281054569,0.002112,32,22.4406
2513bb9e-c387-48dd-ad3f-edff41db2245,Griewank,19,1192733991,0.000143,32,21.4246
ceefcd7c-bc12-40f3-9d9c-b8adb8c5637e,Griewank,20,1579006802,0.000481,32,23.0791
515ceb7c-a43e-4924-bb6a-dfc8ac21dd58,Griewank,21,1199664041,0.000747,32,23.8476
1df2a5bf-bcd8-41bd-9023-4e12d568259d,Griewank,22,948011849,6.1e-05,32,22.6579
dce10c48-29cb-4373-b8fd-bcbc6adf1ae9,Griewank,23,1891632242,0.000301,32,21.3985
8730370f-4d48-4f16-813d-b1f4279acb3b,Griewank,24,1118296747,0.002713,32,25.0663
5fd0538a-3ab8-435a-96cc-32f6c3c944e0,Griewank,25,546472618,0.000121,32,22.6859
2bfea76c-457c-40d6-94a5-9a8a089a1014,Griewank,26,2092277724,0.004967,32,26.3075
6cb30e9e-1ff6-4aaf-bb3f-2466327ef932,Griewank,27,1398619893,0.000227,32,25.7264
2306d732-295c-4bb3-8330-1cc93670a846,Griewank,28,403366577,0.000268,32,21.2602
ec52d0e9-6dff-4f86-ada5-4aa16fbc2a4e,Griewank,29,1253469433,0.000352,32,22.8992
5a7135b3-bbcc-4440-b9b5-837c5d4e1552,Ackley,0,1193455473,0.107671,32,13.1422
b23f54fc-0d38-49c8-8ae2-530c26ccc851,Ackley,1,1296575154,0.066265,32,13.2142
5ad9b46c-2869-40c5-b531-a3e9175194a2,Ackley,2,49325796,0.065078,32,13.4174
fe1e9c8c-7d10-4eac-a27b-0a2996087d52,Ackley,3,1570364029,0.094954,32,14.7772
57a0b1d7-6e00-4bb4-a64d-144d84e00913,Ackley,4,1683047039,0.0468,32,14.1363
2a02c36e-05a8-4732-ba8d-450c977c9f46,Ackley,5,1754694809,0.03404,32,13.8068
bf098c78-a6eb-4aa2-a454-a7affa8a1bf8,Ackley,6,1215577585,0.156258,32,13.7612
ceb28f3a-6d3c-4865-b09c-6b319d5a1d60,Ackley,7,102173562,0.082701,32,13.107
507f8368-129d-42fe-9ae9-d64297a7404e,Ackley,8,431188005,0.458235,32,14.9816
6ff59fdc-23ef-44cf-b474-78fc94cfc0f8,Ackley,9,1249110271,0.036241,32,13.3734
8d1e162e-53b5-4885-94a3-334cf6555f9a,Ackley,10,1439155482,0.067236,32,13.6956
0f51cb1a-6d95-462d-a4b7-ccca09757135,Ackley,11,1045998670,0.196549,32,15.6715
7b4fba5d-cc47-490f-98f5-92a5b455c20f,Ackley,12,1950321721,0.043419,32,15.3235
3521eb53-7e8e-4b95-a89f-88689ab5df6a,Ackley,13,1159909544,0.019996,32,15.2061
d1a5b709-9000-4cae-a8f3-84240b926b0c,Ackley,14,1793557257,0.088738,32,13.4928
e7616dd0-829d-4a31-8ad5-a09a7e202522,Ackley,15,1150737922,0.057253,32,13.0935
6afc7cc7-485a-4ad2-b704-2ce9b4b2415d,Ackley,16,1629072400,0.061516,32,14.6615
9901dc0d-c085-443b-b570-db257cda627b,Ackley,17,626584074,0.104736,32,14.4361
0653d42d-7acb-40f8-b60b-40a02c1f4778,Ackley,18,675712513,0.120487,32,14.5295
22122a79-0ee9-4007-895d-e1f5ac7d9bb4,Ackley,19,286801128,0.057158,32,14.966
ffdc47db-bb2e-4adf-b651-53e58de68254,Ackley,20,214817211,0.10683,32,14.4784
d37238f6-acf6-41ab-83ce-80069b9bb86a,Ackley,21,830390815,0.141424,32,14.1808
cc53ae92-7125-4896-b370-8b78ce20e501,Ackley,22,2088802627,0.147167,32,15.6645
310a0f76-7c81-4893-af32-1b8849c8df11,Ackley,23,2129508711,0.046054,32,14.9002
5f1cadd7-36a0-4877-becf-9c00bca6f958,Ackley,24,647481239,0.031974,32,14.7368
bde2797a-d089-4073-9fb0-ff48216f44ed,Ackley,25,178117112,0.037804,32,14.9172
635d0eb5-8a75-49df-a8bc-015b9c8db2bf,Ackley,26,639625416,0.07685,32,14.3126
49f80b95-bc3f-4ec0-9cf6-aa2d942dea9b,Ackley,27,1482474883,0.068611,32,15.0977
19649b55-357b-44a7-a5bf-d344ba672cf8,Ackley,28,922551746,0.161188,32,14.3003
5bc2c8c1-2df5-40e6-84b1-4d7257a255f4,Ackley,29,1595879026,0.020595,32,14.4215
d4bae2fa-47da-4032-8081-70f80b37cad0,Koza,0,535537532,1.380792,12,271.4084
8c6e0fce-2f55-4b61-a51d-76a6e79283a4,Koza,1,1898213148,4.403273,12,251.9562
c05fc0e1-7d79-4746-8ed9-d60cc4cea5cb,Koza,2,1587209983,0.425768,12,236.5081
531c9a17-c926-4f5a-9cee-8af11b90761d,Koza,3,453910749,0.848877,10,256.2416
2c8f277b-a77b-4b0e-a9d4-5908f6f09dc0,Koza,4,1202522926,0.794836,12,233.448
b942ad55-abcb-49f7-b220-caa3e21b291f,Koza,5,355444480,1.654955,12,247.2094
b05b00ed-d34b-4a69-b027-45696130dbb2,Koza,6,1730570346,1.511517,12,239.3564
082fc601-f965-48fa-a27d-97fc3c80da03,Koza,7,1616899449,2.869972,12,258.2428
8cf54fc1-03f2-4c02-a762-b204e2caeffe,Koza,8,1376248423,2.306338,10,226.8251
1a19eaef-fbf7-4d33-9fb9-0f1451488899,Koza,9,1061812803,1.259235,12,233.1908
795b50b9-faf5-48ba-89c7-4b631e94ffbd,Koza,10,729097006,1.754348,12,234.6536
c5961787-7d9c-4174-a506-468a4828642c,Koza,11,1415682596,1.101084,12,254.1203
4787c5b6-e245-4886-812b-8cb63b990fc5,Koza,12,1011446473,1.610841,12,234.6442
59bed12e-ccf4-4321-a258-bdb92647034e,Koza,13,663575138,38.014332,13,237.453
6582ff2e-b811-47ea-b87d-6a621f83da01,Koza,14,869350523,0.786951,12,216.1116
318d4641-6eac-4b17-ba7d-84a0ca7cba65,Koza,15,649286593,4.160879,12,222.349
fb8f00fa-acb7-43d4-8e25-5df7f02fcf50,Koza,16,2051724028,2.580934,10,234.8483
3342ccc4-fb96-4442-983c-ff51f6f19ef4,Koza,17,594137054,1.839555,12,218.0977
7d9bb37f-8c63-463f-ac99-5d6fc2bf5c60,Koza,18,217494494,2.176943,12,227.4652
0ff95b51-2f86-4ac9-847a-b410fee8f8f5,Koza,19,126024843,6.93537,12,240.3611
5ac33f39-ae2a-4548-bf73-c099a5566cf0,Koza,20,862586882,3.623689,12,217.5477
cbdf0f78-2e2b-4d8e-ad78-f461a190ed2a,Koza,21,1908244644,0.973763,12,238.0668
28d258a2-ed9e-44fe-880a-d157fdbf0f9c,Koza,22,1274607793,4.038296,12,242.2833
b1a66ebe-9ae8-4be1-af7d-e99441a44c90,Koza,23,1412457620,0.563447,10,246.9458
727838bb-6c0b-41d6-a909-41933387eb36,Koza,24,6106058,1.089913,11,230.9391
2b2261a8-0ec2-44a8-bc86-792696167f60,Koza,25,746897824,1.858318,11,243.7677
44bcc9db-ddec-446c-8b5a-378e3412d98a,Koza,26,1525154787,9.873534,11,266.1239
e70ba2be-e457-4129-94b0-1828eddf97c6,Koza,27,581833139,10.679287,12,300.4422
4b7e7cee-96c3-4b89-ae50-87f89d019c6d,Koza,28,1433318302,3.935897,11,257.9104
7e367cea-4028-4af9-b971-a27d55f4bd90,Koza,29,573683447,10.636156,12,272.9551
a7dd79e5-60e1-4e76-9d24-1b03e2772f2f,Knapsack,0,1410718861,-508,80,11.6518
98ac1f07-86dc-4b66-978c-0b289af4e8d3,Knapsack,1,190323363,-508,73,10.7942
beed3e8d-08c0-40d8-a512-6adc1de8dfe0,Knapsack,2,838950980,-508,73,11.0649
a29afcc2-bdf1-42fe-b653-bf61c8488785,Knapsack,3,160502150,-508,77,11.4834
3daeae5b-e880-4fb0-8949-26374ad2cbce,Knapsack,4,267811298,-508,83,11.0283
2773c9da-8d68-4e1a-bd5d-5169ebd2c41e,Knapsack,5,347432654,-508,81,11.5037
61cc96b4-ee93-441f-9ff3-52646b7337fd,Knapsack,6,907504510,-508,74,10.7672
8fdbaee0-bb23-4838-bc89-21ae9fefcac7,Knapsack,7,549851721,-508,78,9.9001
40f22fac-d63c-485e-ba3b-da813ba1d648,Knapsack,8,856161752,-508,77,10.8396
b2f6bb5a-a3b7-4e0f-9e8b-136d31e16ab5,Knapsack,9,1324218150,-508,72,10.8603
a70a56ad-b5bb-4ad1-8aed-3740f80dc40d,Knapsack,10,2060154712,-508,80,11.4808
93886847-c73b-4a5a-a742-2a90a5d7608a,Knapsack,11,253856089,-508,71,10.9975
775bd1db-6eb4-44b0-b316-91f5efcb321f,Knapsack,12,836206035,-508,86,10.9829
5f242c27-0336-4347-b7f1-6142c6dd594d,Knapsack,13,700857355,-508,94,10.5454
cdfd7db4-c1e8-4ebf-a6ca-aeb92775d30c,Knapsack,14,661150931,-508,75,10.3896
c50addf2-5183-458e-ab62-e6985832d833,Knapsack,15,301261265,-508,88,12.2073
906bad06-de2a-4a3b-beb8-37f2d65216ba,Knapsack,16,56031293,-508,79,10.9127
4172e53b-d255-4119-9752-7b4298960d27,Knapsack,17,2028698039,-508,73,10.8002
90aefcc6-3a4e-4dc4-9910-52520b0a610e,Knapsack,18,1542641265,-508,78,10.9832
7702f20a-82f2-4ae2-85da-f371e7bfb294,Knapsack,19,1175097237,-508,74,11.4348
8eb5a77a-5e0a-40d8-b384-122685d6f3a6,Knapsack,20,1940788510,-508,97,10.9121
33d7ba34-335a-405c-8620-399c9c082a2c,Knapsack,21,943780940,-508,84,11.6412
42849f93-a85f-4a89-b260-05eb0d8bf54b,Knapsack,22,1063105611,-508,83,10.8575
8ced59de-c525-4375-93f2-97993690ac89,Knapsack,23,490736129,-508,76,10.7445
75b50096-e97f-4a75-9b52-13f0e067873a,Knapsack,24,1451254277,-508,68,10.7339
81a4fc38-b996-4b1c-8399-148186cc85ff,Knapsack,25,313735781,-508,73,10.974
7f6c2d54-8403-491d-9827-de615ac64be4,Knapsack,26,1220065602,-508,92,10.8882
08a550ee-d0eb-4a5f-8b8b-d3ba5c05d335,Knapsack,27,904031702,-508,83,11.5659
0cc0abaa-a79a-47db-87e3-ce4b26d803ce,Knapsack,28,931165587,-508,78,11.4633
9c7266ff-9044-4e7d-a6e5-e4d8afd2ebaa,Knapsack,29,794848488,-508,70,10.4761
f01a8435-0894-4a16-8523-a6472aa11a38,Parity,0,902396385,7,66,27.6339
6e85ffd4-9d8b-49cc-9a47-b383ff811e2f,Parity,1,703121851,11,66,28.2571
893e7c8d-2312-45b6-bd41-54a99ee38e49,Parity,2,1517626239,10,66,27.5974
7054d309-3db2-4102-ad16-0e21f3b2df5f,Parity,3,2142084718,10,66,27.5425
932b8e08-6b3b-4321-8493-ce740948c3a8,Parity,4,1596870537,7,65,27.1968
172e38e1-7ced-43b1-b4cc-dfe0991359d9,Parity,5,71808376,11,66,27.7478
657d9ff8-1e1b-4aac-81d0-7e7dad8e65ad,Parity,6,1542822926,6,66,27.1601
96de6c4f-f59b-47a9-96f5-971c878e31aa,Parity,7,810244943,9,65,27.325
bbd1e843-5d6a-4c99-b78b-b4a66819cc6e,Parity,8,1480868742,13,66,27.6328
d77b8703-325a-4699-86ce-798c9eb1ad02,Parity,9,1081443259,9,66,27.3514
922a0fbb-9144-4ab7-ad0e-bb15713ae82d,Parity,10,1653500364,9,65,27.2765
bd86fb91-1f30-44ce-8049-b80adc353792,Parity,11,1700459981,11,66,27.6789
8d4e901b-92c3-4d20-9cb8-cbb52eadd432,Parity,12,1234870658,8,66,27.1003
56fd16d3-2922-4ff3-9b5b-ea2c99233623,Parity,13,1425538768,10,66,27.6056
2fbd9e22-1ab7-4f0c-8e17-428446324cd0,Parity,14,242701785,8,66,27.2581
6489a259-5c13-41da-a309-189c7dcbe9e1,Parity,15,1285756477,8,66,27.4718
4710003a-238f-40e1-98bb-2435b242e4b3,Parity,16,80021655,9,65,28.1139
28ba807c-eae5-430e-9734-b8a2d9d67297,Parity,17,84109301,9,65,30.5317
b2d5cd13-07b6-4aa9-bac0-1eb1304c4171,Parity,18,740608318,7,66,30.9049
61918f84-ddd0-45fc-b0d7-276bb49d635d,Parity,19,368291042,8,66,29.8496
03c2a56a-84c7-4a44-9e53-c35233b9eb29,Parity,20,808157011,9,66,27.3342
10cc73d1-d25a-4ab9-b18c-c44791242b80,Parity,21,1435106682,8,66,28.3915
74b037c2-144e-4972-9136-bbad4ac3f595,Parity,22,1482267211,8,66,28.3047
5571f456-7c4d-4eaa-93f2-075a4250772b,Parity,23,515007673,9,66,28.4812
db0dbfe0-4b33-4f86-a801-4fe860a004b7,Parity,24,952950166,8,66,28.2812
de1bf1b0-a3ac-4708-915f-1ab71e5ff0b1,Parity,25,1556331524,9,66,26.1614
6b08d50b-77e1-42af-8b48-db18626709ec,Parity,26,622636708,11,66,25.8913
47055de5-5a86-46aa-9968-d76e9fe6f1ce,Parity,27,106988731,11,66,21.9267
45399673-553b-4175-87eb-9377d5e87d14,Parity,28,436698931,10,66,22.4822
defc8a36-6639-49e2-bec0-ff9526e88402,Parity,29,945406140,9,66,20.2001
535be799-0943-4d83-919f-aa3f594ac5a5,SantaFe,0,1913748663,-16,99,25.5489
be8290a4-18dd-4e5d-84a4-0180826fcc6b,SantaFe,1,185173725,-18,98,27.8562
371f323b-8961-4f7b-b6fc-3bc94abc2a7a,SantaFe,2,242888230,-19,99,26.8295
27dc601f-6bdf-4c15-9062-9ddef209b516,SantaFe,3,572405277,-18,98,36.9455
fd450e61-fbfc-48cd-9214-69914abc86bc,SantaFe,4,1738020470,-16,98,32.1117
66c5b4c8-c8f6-4de0-8582-0dde52fa9011,SantaFe,5,1268552658,-19,98,31.8566
4abf3b14-cfb0-42c7-848d-7263e8183064,SantaFe,6,2010619882,-17,98,32.4046
b3ff57d0-8742-42b2-a98a-d1d5cc402885,SantaFe,7,2101227194,-18,98,31.7865
ccd94e20-6cf7-483e-b576-e752e65f3d93,SantaFe,8,1895905511,-18,98,32.7437
a3990b1e-02d9-4ca6-83f1-c046a310b3fd,SantaFe,9,1606234066,-16,98,32.1192
82ab26c3-63cc-4d04-8e72-3f931ee15986,SantaFe,10,1778020723,-18,99,32.4046
3c0a4fff-ec1e-4399-8972-a555f9e00763,SantaFe,11,628597221,-17,99,31.8154
4716f386-811f-41bb-9868-a0dd83a51f29,SantaFe,12,1533575472,-16,98,32.4941
096de072-c87b-4bef-8f85-027eeb775a90,SantaFe,13,295987481,-17,98,32.3271
f83e40ed-0853-40e4-a7c6-2c13a405e0f6,SantaFe,14,1902261354,-17,99,32.0299
4ed9fcad-c40a-4ba7-beb5-6db670701def,SantaFe,15,1105154309,-19,98,32.4073
60550d89-5776-4649-af13-ef8e4071bde6,SantaFe,16,2146668331,-18,99,31.6569
45ba9ea0-baae-475b-9364-de12deeb793e,SantaFe,17,1521794543,-17,98,32.4491
9cf13c61-e144-4280-bd25-b58a5d699b1f,SantaFe,18,1134974075,-19,98,32.2134
9536f196-1118-4fe0-b8dd-a86bef3a2e22,SantaFe,19,1105569664,-17,99,32.6921
fbb8044c-dc74-48ac-9446-85c158c742ab,SantaFe,20,909600993,-16,98,31.9801
0c6df92e-6c7c-4798-8bca-176f65ea809d,SantaFe,21,562013177,-17,98,32.4736
494014c5-e773-473e-9d17-ab1d83bac1e8,SantaFe,22,887723056,-16,99,32.1293
50d0f248-0545-4486-98f0-a6ab2e99f6d5,SantaFe,23,2133723399,-18,99,32.5636
95c34fee-d2e0-42b2-a732-c5d5fe2c28c0,SantaFe,24,649101568,-18,98,32.8284
7b985c5e-4386-4992-a29c-6dfc19654213,SantaFe,25,1214821775,-18,98,32.645
5dfeb131-3c32-41ea-bee1-f1e0eb9de773,SantaFe,26,1209120288,-16,98,32.5516
48aa2b8c-12fc-40ee-81e9-bba48c059049,SantaFe,27,392065556,-16,100,32.1099
40764639-1fef-4e3d-b13e-9ebbfb5f3502,SantaFe,28,1820245922,-18,99,31.8486
e7dd825f-991f-4abe-98a1-cb09cc6fc089,SantaFe,29,696248605,-17,98,30.2754
