,CMA_ES,DE,GA,GE,GP
CMA_ES,1.0,0.6407651382790485,0.02124110624222275,0.22784293583076265,0.001
DE,0.6407651382790485,1.0,0.4518142699171276,0.9,0.001
GA,0.02124110624222275,0.4518142699171276,1.0,0.8724590700286146,0.001
GE,0.22784293583076265,0.9,0.8724590700286146,1.0,0.001
GP,0.001,0.001,0.001,0.001,1.0
