,CMA_ES,DE,GA,GE,GP
CMA_ES,1.0,0.9,0.9,0.11304755483883921,0.001
DE,0.9,1.0,0.9,0.3072655772256071,0.001
GA,0.9,0.9,1.0,0.426535284940023,0.001
GE,0.11304755483883921,0.3072655772256071,0.426535284940023,1.0,0.001
GP,0.001,0.001,0.001,0.001,1.0
