,CMA_ES,DE,GA,GE,GP
CMA_ES,1.0,0.9,0.001,0.001,0.0011757841926296475
DE,0.9,1.0,0.005471183770702104,0.006320059019066737,0.001
GA,0.001,0.005471183770702104,1.0,0.9,0.001
GE,0.001,0.006320059019066737,0.9,1.0,0.001
GP,0.0011757841926296475,0.001,0.001,0.001,1.0
