,CMA_ES,DE,GA,GE,GP
CMA_ES,1.0,0.22784293583076265,0.9,0.9,0.001
DE,0.22784293583076265,1.0,0.1935221613389786,0.640765138279048,0.001
GA,0.9,0.1935221613389786,1.0,0.9,0.001
GE,0.9,0.640765138279048,0.9,1.0,0.001
GP,0.001,0.001,0.001,0.001,1.0
