,CMA_ES,DE,GA,GE,GP
CMA_ES,1.0,0.001,0.9,0.001,0.06816040115767852
DE,0.001,1.0,0.001,0.5944265400353359,0.687103603975319
GA,0.9,0.001,1.0,0.001,0.012628548075337531
GE,0.001,0.5944265400353359,0.001,1.0,0.05478622594440785
GP,0.06816040115767852,0.687103603975319,0.012628548075337531,0.05478622594440785,1.0
