,CMA_ES,DE,GA,GE,GP
CMA_ES,1.0,0.001,0.001,0.001,0.02723249660801408
DE,0.001,1.0,0.02723249660801408,0.001,0.5712592610070654
GA,0.001,0.02723249660801408,1.0,0.10243721599276312,0.001
GE,0.001,0.001,0.10243721599276312,1.0,0.001
GP,0.02723249660801408,0.5712592610070654,0.001,0.001,1.0
