,CMA_ES,DE,GA,GE,GP
CMA_ES,1.0,0.7797814989061722,0.8261217054584069,0.21023874852303626,0.001
DE,0.7797814989061722,1.0,0.9,0.01103737738702415,0.024070768285477828
GA,0.8261217054584069,0.9,1.0,0.014425550011048949,0.018706507144659157
GE,0.21023874852303626,0.01103737738702415,0.014425550011048949,1.0,0.001
GP,0.001,0.024070768285477828,0.018706507144659157,0.001,1.0
