benchmark,algorithm,best_mean,best_median,best_std,best_25,best_75,len_final_mean,len_final_median,len_final_std,len_final_25,len_final_75,cpu_s_mean,cpu_s_median,cpu_s_std,cpu_s_25,cpu_s_75,delta_len_mean,delta_len_median,delta_len_std,delta_len_25,delta_len_75
Ackley,CMA_ES,3.0211072999999997,2.45e-05,16.427832782841506,1.2499999999999999e-06,0.004288,30.0,31.0,3.2377088536015175,28.0,32.0,3.0609733333333335,3.1348,0.23887051597528497,2.8911,3.195375,2.533333333333333,2.0,1.9605300714142442,1.0,4.0
Ackley,DE,0.09346093333333334,0.0679235,0.08239423626600025,0.0462405,0.10746075,32.0,32.0,0.0,32.0,32.0,14.326780000000001,14.428799999999999,0.7694613733667517,13.712,14.912949999999999,2.0,2.0,0.0,2.0,2.0
Ackley,GA,0.09448776666666667,0.0852755,0.043781265032434014,0.0589965,0.11589925,29.433333333333334,29.0,1.4546793303071954,28.0,30.0,161.21882666666667,127.5185,64.38421956779277,108.03465,213.2917,1.3666666666666667,1.5,0.718395402284138,1.0,2.0
Griewank,CMA_ES,4.3342684,0.0,16.543013948833277,0.0,8.5e-06,30.033333333333335,30.0,2.988291327409572,28.0,32.0,4.532983333333333,4.49255,0.32985970380663704,4.273225,4.7671,2.3666666666666667,2.0,1.7710961603468633,1.0,3.0
Griewank,DE,0.0018750000000000001,0.0004435,0.0033284677638776095,0.00019475,0.00191875,32.0,32.0,0.0,32.0,32.0,22.241433333333337,21.91955,1.8646367373563293,21.294775,23.034125,2.0,2.0,0.0,2.0,2.0
Griewank,GA,0.0007449666666666667,0.0005430000000000001,0.0006624007268930988,0.00030599999999999996,0.001006,29.366666666666667,29.0,1.3514572807192968,28.0,30.0,335.0451366666667,317.12135,42.287787909240286,311.44737499999997,329.31095,1.2333333333333334,1.0,0.8172001541568766,1.0,2.0
Knapsack,CMA_ES,-472.1,-473.0,40.15689059263634,-495.0,-456.0,18.166666666666668,18.0,3.0295479728072023,16.0,20.0,2.5223999999999998,2.5166,0.22451977257217692,2.398575,2.701575,2.9,2.5,1.98876152763299,1.25,4.0
Knapsack,DE,-508.0,-508.0,0.0,-508.0,-508.0,79.0,78.0,7.124508452493767,73.25,83.0,11.029486666666665,10.943349999999999,0.4603482735055494,10.7957,11.456175,59.0,58.0,7.124508452493769,53.25,63.0
Knapsack,GA,-569.0,-569.0,0.0,-569.0,-569.0,75.03333333333333,77.0,22.444542126413893,61.0,98.25,131.24683666666667,128.6801,5.7145121308329605,127.82325,131.688975,55.03333333333333,57.0,22.444542126413893,41.0,78.25
Koza,CMA_ES,8.4028859,0.006428,21.814956566403012,0.0026072499999999998,0.03721725,9.833333333333334,10.5,3.384379261918756,7.25,12.5,18.972793333333335,18.732,3.0289219387413233,16.752625,20.982975,2.7,3.0,1.9852907369815707,1.0,4.0
