run_id,benchmark,replicate,seed,best,len_final,cpu_s
3af8c90d-2225-4f74-a585-f225469e3927,Sphere,0,1327393793,0.045719,28,78.7868
e10541db-3b87-4ab7-b5aa-05e208f3daa5,Sphere,1,1041465931,0.024509,31,77.5282
0ee74368-bec0-4150-87da-539510bbaa5f,Sphere,2,45895658,0.03246,28,72.7058
ebe425d1-2c52-4c9b-a975-2907a25cee0a,Sphere,3,573991176,0.066011,28,73.772
46eb4a2e-be0c-4a27-bd0b-1dda21f87f36,Sphere,4,224539520,0.031343,28,75.5589
3c6df16c-3556-44ba-b5c9-0bbbcafe6005,Sphere,5,378144418,0.107923,28,77.0073
469d561c-f692-4741-8eb9-4957fe0598bd,Sphere,6,735516919,0.040123,28,84.6673
f8819889-c9d2-4548-b1da-7cdb35571457,Sphere,7,1395609597,0.01843,28,82.7711
a3a4f1f4-49c0-47a0-9b71-585e2b1c8864,Sphere,8,953916370,0.02622,28,86.0606
00e466ec-ab4c-41d3-b03b-edd1d616d3a0,Sphere,9,1311988557,0.041502,28,61.2363
b32bf4e5-6a01-4404-b453-a3d810867b32,Sphere,10,140161571,0.034575,31,63.2841
0ac1f232-6da3-4c74-9b57-ea589288cdc3,Sphere,11,958477614,0.075223,28,69.5882
0c89040f-cf5a-4eb4-81e0-851b77debe08,Sphere,12,1959560370,0.025949,28,82.3314
5b24fa5b-4377-4afc-af8e-7ae09d179f1f,Sphere,13,1803495157,0.01825,28,82.2119
d2bbcb00-a095-4a7f-9116-7bf7c2a095f1,Sphere,14,723859918,0.014694,28,82.0637
e64da5ae-fd5f-48c7-8a90-738a2c86f2f6,Sphere,15,207183396,0.024179,28,81.0507
c65a4510-6b10-426c-a985-9170f2792875,Sphere,16,2088105009,0.017848,28,80.0546
dde8f593-c2d6-4a19-91a5-f559ba675703,Sphere,17,965250498,0.032022,28,80.6812
8688dc12-0359-48c1-8f61-ac547a042bd1,Sphere,18,385519368,0.040008,28,74.7817
26e0174f-a5fa-4d9c-ab10-83ed93c29c4f,Sphere,19,677280113,0.035785,29,73.9718
3c0a6057-7bf3-4c8a-902a-cb408fc9bdcb,Sphere,20,250698027,0.019886,28,81.1927
9cf2fda1-efd2-445e-86a5-2a6452324b09,Sphere,21,583821143,0.018319,28,83.5318
e1613dd4-83f9-499d-b12c-eee5b92d3d7d,Sphere,22,1243402046,0.144835,28,84.2617
bfe1e964-bd76-42a4-8187-4b3cba484e8c,Sphere,23,803800334,0.014012,28,83.0957
b34f1721-6e29-4d21-ab97-41fc608633ca,Sphere,24,1171807347,0.038387,29,82.7268
d5e7e09b-9329-481e-83c4-8c648ed85fc5,Sphere,25,858079060,0.084005,28,82.2109
4df060c3-b935-4470-a6b8-616b464d43ad,Sphere,26,1818848404,0.059974,28,80.003
6861015d-4812-4687-8cd9-47de72e262af,Sphere,27,1997678593,0.02808,28,73.4069
20320228-cf3c-48f8-bb0d-809bd4012690,Sphere,28,889691858,0.024684,28,72.9114
e4522665-cbab-4c5d-8a90-508490c20e65,Sphere,29,917881041,0.034382,29,83.141
ace6d6ea-fc79-4ef7-893a-1abf5adf1c95,Rastrigin,0,312799348,1.02427,28,138.5939
815bc129-e0d7-428e-a8d3-14f7583ddd07,Rastrigin,1,2026164607,2.475839,28,136.7439
c2db1035-649c-41a9-8715-c583cf10ef58,Rastrigin,2,1587155029,1.097852,28,127.9036
a91aaaa9-076f-4d4c-8711-ef9d9a2c16dc,Rastrigin,3,306019049,0.467243,28,139.1727
c1a77acd-efd3-4522-a2fe-06375f42842f,Rastrigin,4,1796781537,1.157244,29,135.0867
85de67c6-43c1-4faa-a8c2-f50c17e2cf2a,Rastrigin,5,1250891146,2.585438,28,128.9521
bde471ed-9127-4626-a667-c09aba706edd,Rastrigin,6,135527103,0.037731,28,134.8597
d9329ae4-c6b8-448b-85ce-36c4ae13feea,Rastrigin,7,504606346,1.885182,32,137.1411
912c61d1-95fc-475d-bb53-a3385216cf51,Rastrigin,8,2080291710,2.799908,28,135.4923
be6c54dd-29b8-404a-83c7-bf97144dcfc3,Rastrigin,9,639506921,2.667186,28,133.6272
489f42f8-843f-4586-889b-87a37949303d,Rastrigin,10,2001912443,3.619435,28,123.7092
ab476643-03d6-4bb2-96e8-c94d739b19e1,Rastrigin,11,2085622398,0.981248,31,137.0622
4c8e5057-26d0-4c06-a689-621234653cee,Rastrigin,12,594226391,0.356525,29,139.6489
073f52b7-5024-4f2e-a8a3-5c3d6b5440ee,Rastrigin,13,77904804,1.667688,28,135.4686
453c7ef4-26ec-4a6c-9e5b-029da326e75c,Rastrigin,14,1331247948,0.596561,28,118.9345
87993a1b-88d7-4ad5-ba2d-9bee9c8206d9,Rastrigin,15,912815660,4.603195,28,90.1061
207756d7-7d7c-410e-90bc-300a06feec1f,Rastrigin,16,1184763500,1.343032,28,90.8314
0567d151-f483-4e7e-ae19-a6806e51634b,Rastrigin,17,1283500860,2.332398,28,88.4757
e1c2f15c-b7c4-4ada-b2e4-22adfb29a13d,Rastrigin,18,1589284695,2.1746,28,89.4272
f4dbf1e7-dd99-46ca-920f-61c5228ff938,Rastrigin,19,1036335948,4.652254,28,94.7886
35c712f9-4045-44e1-addd-e26ab7681129,Rastrigin,20,756607236,2.897978,28,91.2045
2c2c0d78-9176-427d-98e3-70372fd24d58,Rastrigin,21,1152436630,1.086571,28,93.8597
94ff0fd1-7a28-4939-a315-cee4a8f68491,Rastrigin,22,1513565677,2.049895,28,94.2516
ec131dd5-522a-4fd3-b906-538f812d553b,Rastrigin,23,708391672,6.709517,28,93.3297
033c4204-833d-431b-a463-72f0b446b182,Rastrigin,24,2003909409,0.276251,28,90.1178
42561683-a919-487d-9b62-0c6b5359a93d,Rastrigin,25,1523925995,0.482687,28,89.8006
f887a8f4-db8e-4d74-82b6-3c974d53e91c,Rastrigin,26,1230051755,5.372723,28,93.127
f959bbe3-1718-433a-927e-0052327aeb61,Rastrigin,27,2016385695,13.642364,28,91.6911
9036355c-7307-4ba4-8862-083a46942eef,Rastrigin,28,2076425824,2.303947,29,92.0024
ac503acc-54cc-4da9-8b01-3af08be1ca4e,Rastrigin,29,920707981,2.569841,28,92.5389
b2a18437-0293-4e09-9ff5-961ad1b69a74,Griewank,0,550033408,0.000282,32,190.9802
7550b99b-c75d-42e0-97fe-693064f4babf,Griewank,1,1037673348,0.000115,28,188.6702
71cbffca-07cb-46be-b88e-091001707bde,Griewank,2,540389585,0.000132,28,189.3726
589c691e-a4d5-480b-a610-9070e4f51ac8,Griewank,3,301490073,0.0003,28,188.6175
087187cd-4233-4707-b67d-3a7e00dd2bcd,Griewank,4,1247745753,4.5e-05,28,182.7707
447b7422-f113-49ac-a9d2-d792e6f0d77b,Griewank,5,1230484420,0.001388,32,185.7843
6f198760-d963-43c4-9ba3-c30c4600b4e8,Griewank,6,989941798,0.000892,28,183.6343
17d6e3f2-9a97-4a89-a500-289998635015,Griewank,7,1849473741,0.000243,30,183.659
7c460ebd-54c3-45c6-9d5b-f348194af6b1,Griewank,8,631663564,0.00098,31,184.3091
64c61f89-b286-49d0-9078-8c06b654988e,Griewank,9,1089398643,0.000399,28,188.3063
d4c67caa-d04e-4ae7-8a00-3c468a2746d8,Griewank,10,679183538,0.000186,28,183.6627
7f3045de-5066-4871-91a7-8b6bd7825655,Griewank,11,376216085,0.000862,29,183.4218
c53e35c3-cf05-4411-bfde-c2c8b5d99516,Griewank,12,1273601664,0.001497,28,186.0567
8ba45834-9e83-4136-91f2-f5d0f2c2e3d6,Griewank,13,38740998,0.000356,31,201.5112
585e2b80-3b4f-485b-80cf-10f98e2bd6ff,Griewank,14,1687963877,9e-05,31,258.2538
d1c05051-928e-47fd-8ba6-7cf91b9669a1,Griewank,15,1502842233,0.001551,29,287.7527
334b970c-c25c-4a3e-9640-68e326665306,Griewank,16,1487258855,0.000435,28,268.7959
2ebd1b36-e328-4ab6-b246-914b19d0fdd7,Griewank,17,1639702193,0.000337,32,290.0887
c42e7f9d-906c-45bf-a25a-4014e99f7cdd,Griewank,18,1935503428,0.000168,28,237.2388
ecab3fed-9a59-4521-bd3b-3a0aa9d87dfc,Griewank,19,1357383554,3.3e-05,28,258.2585
64ecb863-2729-41ea-bddc-ece76f2d7a89,Griewank,20,1061280931,0.001345,30,233.6674
62a2f321-1183-491e-9abf-44e692c34a6e,Griewank,21,1769688395,0.001468,29,218.7277
40e803e5-bc0b-4baa-b513-b2645914bba5,Griewank,22,234848342,0.001925,28,217.5118
1ab97009-e713-45d8-be92-c254901552dd,Griewank,23,519372056,0.000789,28,195.4802
0676468e-f4fb-4374-a27b-ed0abe754637,Griewank,24,13164220,8e-05,29,196.152
d089fd68-fec0-4c36-835b-a541107afd50,Griewank,25,1454711785,0.000948,32,195.3861
8c4ef33a-00b4-4df6-b3fd-0023088462c7,Griewank,26,1970408356,0.000962,28,197.6929
f648d2d0-dc54-43fa-97e7-ed17a345d071,Griewank,27,1164476407,0.001608,28,196.796
507c80f3-85ce-4c5b-8ae1-b1f8acb69b1c,Griewank,28,648507796,0.0002,28,190.3088
b72e5dd9-c8cb-4969-9244-abdcf051d4fe,Griewank,29,1448030584,0.000512,30,194.4359
6728da42-3076-448b-9f43-89745775045f,Ackley,0,220626480,0.047776,28,99.7472
7a4c85de-c52b-4193-9799-bdb052bbf151,Ackley,1,473531606,0.081079,32,99.3584
39c9d517-0943-4dc8-b2f6-416586eb1ffc,Ackley,2,1378266169,0.078804,32,99.6497
cd143ca9-4cba-4053-9eef-a52c6bcdb364,Ackley,3,1808952833,0.093273,28,99.5722
d67826d0-7182-4540-8e51-eb0da7c29bc2,Ackley,4,910703834,0.034202,31,99.3793
325b900e-6f49-4abd-9b8c-f8f8d681622d,Ackley,5,762829225,0.059477,32,100.3761
ca02fedd-d630-4e32-a091-8c0439dde7b4,Ackley,6,1777986476,0.063598,31,99.9496
34c753e3-b69b-4293-bcb9-3893d8d36d06,Ackley,7,84761720,0.098153,28,99.6122
770d76b6-a88b-45b1-810e-7b4045e6e258,Ackley,8,134339878,0.096045,29,99.6122
3db6f34d-471e-4219-b1c0-e7835511b6b9,Ackley,9,675935887,0.068832,32,99.4743
18108e13-103b-417d-8e33-4bd2ff1300da,Ackley,10,307844385,0.126485,32,102.031
359e7da1-f9d1-4b79-b1d6-4a2d2b9693d1,Ackley,11,749569821,0.177729,28,100.6524
d76b2469-e3a8-4d7a-87ff-5e76206fada0,Ackley,12,1423569960,0.046433,28,99.9635
